SN,DN/IP-List,First-Date,Last-Date
116,file-sharing.tibet-office.com,2020/5/26,2020/5/26
117,flanklin2010.gicp.net,2010/6/30,2010/6/30
118,flatoe.dk,2019/3/25,2020/9/24
119,fn.shopingchina.net,2020/2/16,2020/9/24
120,forticlient.tw,2020/8/24,2020/8/24
121,forum.mena.cz,2019/3/25,2020/9/24
122,foto2000.kkp.cz,2019/3/25,2020/9/24
123,freesky365.gnway.net,2008/1/23,2008/1/23
124,freetcp.com,2020/8/24,2020/8/24
125,freeway.strangled.net,2018/7/25,2020/9/24
126,frodo.zzux.com,2018/4/10,2020/9/24
127,fs53.eynyforum.com,2019/5/1,2019/5/1
128,ftp.helps.zyns.com,2018/11/7,2020/9/24
129,ftp.scandinavian-collection.com,2020/5/6,2020/9/24
130,gamesharetd123.publicvm.com,2013/9/2,2013/9/2
131,girlfriend.3322.org,2010/6/30,2010/6/30
132,global.smart-house.ga,2018/10/18,2018/11/5
133,gmailserver.twbbs.org,2009/12/6,2009/12/6
134,gneivaientga.ignorelist.com,2020/1/9,2020/9/24
135,goheaven.3322.org,2013/6/11,2013/6/11
136,gongjiansword.vicp.net,2010/6/12,2010/6/12
137,goodday0314.3322.org,2009/7/6,2009/7/14
138,googleapi.serveuser.com,2018/7/25,2020/9/24
139,gxjy.tuozhanjidi.org,2019/10/8,2020/9/24
140,h2hww.toythieves.com,2019/10/8,2020/9/24
141,hashstrem.ru,2020/3/11,2020/9/24
142,hello.getce.com,2010/3/29,2010/3/29
143,helpdesk.blackcmd.com,2013/7/4,2013/7/4
144,hinet.twgogo.org,2010/3/3,2010/3/10
145,hinet2009.twbbs.org,2009/9/21,2009/9/21
146,hlmgr.speedtest-hinet.com,2020/8/24,2020/9/21
147,homepage.neithey.com,2019/4/29,2019/7/15
148,hrtests.ru,2019/10/22,2020/9/24
149,humorcc.3322.org,2009/6/22,2009/6/22
150,hygscpro.com,2019/5/8,2020/9/24
151,icst.ygto.com,2016/5/8,2016/5/8
152,idp10.udngroups.com,2019/4/29,2019/4/29
153,igs.wikipedia.authorizeddns.org,2019/2/19,2020/9/24
